distance,k,sigma,eps,precision,recall,storage,preparationTime,predictionTime
cosine,7,0,0.3,0.5002088117460894,1.0,19807691,0.9271303381869714,0.0005758472780980908
cosine,7,0.05,0.3,0.7163466912773004,0.9865734621250634,19807691,0.9449535505762486,0.0005839954107969431
cosine,7,0.1,0.3,0.7175064866647153,0.9837214031520082,19807691,0.9106788092557311,0.0005668329117842011
cosine,7,0.15,0.3,0.7905105576199783,0.9679219623792576,19807691,0.9120180621804335,0.0005684465353289971
cosine,7,0.2,0.3,0.7801058227267604,0.9653211320115233,19807691,0.9117668181955744,0.0005672052635254095
cosine,7,0.25,0.3,0.8003382646022137,0.9641111675987121,19807691,0.912077018083643,0.0005685405622394969
cosine,7,0.3,0.3,0.8487977261493799,0.9476054905948145,19807691,0.9123549843766511,0.0005692825333749504
cosine,7,0.35,0.3,0.8529420293917236,0.9504418742586002,19807691,0.9133269567149551,0.0005678127735324633
cosine,7,0.4,0.3,0.8588896190201964,0.9415175394001014,19807691,0.9165688866001666,0.0005707385341648846
cosine,7,0.45,0.3,0.8920870091959228,0.9231329435688868,19807691,0.9038464140529697,0.0005648021851699834
cosine,7,0.5,0.3,0.9171023184073448,0.911315455007626,19807691,0.9096154804013992,0.0006051636796766427
cosine,7,0.55,0.3,0.9200969710301768,0.9042819013726487,19807691,1.0618045778882093,0.0006593037264618998
cosine,7,0.6,0.3,0.9102801739965984,0.8833201999661073,19807691,1.0081651848055868,0.0006128492844226008
cosine,7,0.65,0.3,0.9472855285054232,0.8549813590916793,19807691,0.9939601799805072,0.0006293097751981521
cosine,7,0.7,0.3,0.9593752506964761,0.8671195560074563,19807691,0.9116029704803612,0.0005737139534515232
cosine,7,0.75,0.3,0.9769632864653139,0.8188578207083548,19807691,0.9304305301238168,0.0005815429279432715
cosine,7,0.8,0.3,0.9705740099634871,0.7960252499576345,19807691,0.9374014702615554,0.0005807038449883148
cosine,7,0.85,0.3,0.9791580894184471,0.7907807998644297,19807691,0.9160052707442767,0.0005708874061599492
cosine,7,0.9,0.3,0.9907757117483919,0.7385502457210643,19807691,0.9050266861557821,0.0005785731113681951
cosine,7,0.95,0.3,0.989253287743183,0.7245449923741738,19807691,1.4653458748197608,0.0008331424195726258
cosine,7,1,0.3,0.9918331845563527,0.6883905270293169,19807691,0.9802810111384022,0.0006466034895334597
