distance,k,sigma,eps,precision,recall,storage,preparationTime,predictionTime
cosine,7,0.5,0,0.9032473973508782,0.8999440772750381,474795913,1.0641079417829293,0.00424905337198527
cosine,7,0.5,0.1,0.8999085341816165,0.8958062192848671,152649995,4.377334677359211,0.003124950200904583
cosine,7,0.5,0.2,0.898037087359525,0.8919094221318421,41118091,1.505456489459293,0.0013182724935365986
cosine,7,0.5,0.3,0.8912669944112185,0.8941751398068123,19807691,1.0059567694176579,0.0009357714603368954
cosine,7,0.5,0.4,0.8850320080730163,0.8854872055583801,12158379,0.8574753433748143,0.0008614390024809946
cosine,7,0.5,0.5,0.883788750885634,0.887746568378241,8569259,1.0214076544558734,0.0008124301709046129
cosine,7,0.5,0.6,0.8797772338010702,0.875884172174208,6617675,0.8904233832910889,0.0007756828574727257
cosine,7,0.5,0.7,0.8748809369553646,0.8753579901711572,5473642,0.6483058305374577,0.0006611913889409894
cosine,7,0.5,0.8,0.8701738627477383,0.8743890865954923,4778250,0.6520266072341488,0.0006585729337477343
cosine,7,0.5,0.9,0.8705534325857628,0.8812366548042705,4419338,0.6364492660840156,0.0006477727387689303
