approach,precision,recall,storage,preparationTime,predictionTime
Pinto-KNN,0.9434894385712709,0.8500824630260795,474795913,1.1579880638164765,0.002671745687968253
FLAST-k3-sigma0.5,0.9291947756221023,0.925126052857657,19807691,0.9521218212979119,0.0005669841351195939
FLAST-k3-sigma0.95,0.975137318899562,0.8318358515132884,19807691,0.9400143335760539,0.0005626678145405968
FLAST-k7-sigma0.5,0.9177287625326335,0.9115485346410478,19807691,0.9449149292119096,0.0006108255278456726
FLAST-k7-sigma0.95,0.9880354292466637,0.7151272595073364,19807691,0.9504502923225157,0.0005862730376306935
